wav	int
900.0	1.1663976653676293
900.02	1.1663658731310902
900.04	1.1663340816650942
900.06	1.1663022909696321
900.08	1.166270501044693
900.1	1.1662387118902653
900.12	1.1662069235063381
900.14	1.1661751358929013
900.16	1.1661433490499433
900.18	1.1661115629774537
900.2	1.1660797776754208
900.22	1.166047993143835
900.24	1.1660162093826838
900.26	1.165984426391958
900.28	1.165952644171646
900.3	1.1659208627217363
900.32	1.1658890820422187
900.34	1.1658573021330823
900.36	1.165825522994316
900.38	1.165793744625909
900.4	1.1657619670278503
900.42	1.1657301902001296
900.44	1.1656984141427347
900.46	1.165666638855656
900.48	1.1656348643388823
900.5	1.165603090592402
900.52	1.1655713176162057
900.54	1.1655395454102806
900.56	1.1655077739746174
900.58	1.1654760033092046
900.6	1.1654442334140314
900.62	1.1654124642890864
900.64	1.1653806959343596
900.66	1.1653489283498393
900.68	1.1653171615355156
900.7	1.165285395491376
900.72	1.165253630217412
900.74	1.1652218657136102
900.76	1.1651901019799613
900.78	1.165158339016454
900.8	1.165126576823077
900.82	1.1650948153998202
900.84	1.1650630547466723
900.86	1.1650312948636223
900.88	1.1649995357506595
900.9	1.1649677774077725
900.92	1.164936019834951
900.94	1.1649042630321846
900.96	1.1648725069994612
900.98	1.1648407517367705
901.0	1.1648089972441018
901.02	1.164777243521444
901.04	1.1647454905687864
901.06	1.1647137383861175
901.08	1.164681986973427
901.1	1.1646502363307043
901.12	1.1646184864579379
901.14	1.1645867373551169
901.16	1.1645549890222304
901.18	1.164523241459268
901.2	1.1644914946662188
901.22	1.1644597486430717
901.24	1.1644280033898153
901.26	1.1643962589064392
901.28	1.164364515192933
901.3	1.1643327722492849
901.32	1.1643010300754848
901.34	1.1642692886715211
901.36	1.1642375480373834
901.38	1.1642058081730604
901.4	1.164174069078542
901.42	1.1641423307538166
901.44	1.1641105931988731
901.46	1.1640788564137015
901.48	1.1640471203982898
901.5	1.1640153851526287
901.52	1.1639836506767056
901.54	1.1639519169705108
901.56	1.163920184034033
901.58	1.163888451867261
901.6	1.1638567204701844
901.62	1.1638249898427924
901.64	1.163793259985073
901.66	1.1637615308970166
901.68	1.163729802578612
901.7	1.1636980750298482
901.72	1.1636663482507146
901.74	1.1636346222411993
901.76	1.1636028970012926
901.78	1.1635711725309832
901.8	1.1635394488302597
901.82	1.1635077258991124
901.84	1.1634760037375291
901.86	1.1634442823454996
901.88	1.1634125617230129
901.9	1.163380841870058
901.92	1.1633491227866242
901.94	1.1633174044727008
901.96	1.1632856869282766
901.98	1.1632539701533409
902.0	1.1632222541478823
902.02	1.1631905389118906
902.04	1.1631588244453543
902.06	1.1631271107482628
902.08	1.1630953978206056
902.1	1.1630636856623713
902.12	1.1630319742735493
902.14	1.1630002636541288
902.16	1.1629685538040981
902.18	1.1629368447234472
902.2	1.162905136412165
902.22	1.1628734288702403
902.24	1.1628417220976623
902.26	1.1628100160944208
902.28	1.162778310860504
902.3	1.1627466063959015
902.32	1.1627149027006025
902.34	1.1626831997745959
902.36	1.1626514976178703
902.38	1.1626197962304161
902.4	1.1625880956122212
902.42	1.1625563957632754
902.44	1.1625246966835676
902.46	1.162492998373087
902.48	1.1624613008318223
902.5	1.1624296040597628
902.52	1.1623979080568982
902.54	1.1623662128232168
902.56	1.1623345183587084
902.58	1.1623028246633613
902.6	1.1622711317371655
902.62	1.1622394395801097
902.64	1.1622077481921826
902.66	1.1621760575733744
902.68	1.162144367723673
902.7	1.1621126786430682
902.72	1.1620809903315492
902.74	1.1620493027891046
902.76	1.162017616015724
902.78	1.1619859300113962
902.8	1.1619542447761102
902.82	1.1619225603098562
902.84	1.1618908766126217
902.86	1.161859193684397
902.88	1.1618275115251704
902.9	1.1617958301349316
902.92	1.1617641495136695
902.94	1.1617324696613731
902.96	1.1617007905780317
902.98	1.1616691122636345
903.0	1.1616374347181706
903.02	1.1616057579416286
903.04	1.1615740819339981
903.06	1.1615424066952682
903.08	1.1615107322254279
903.1	1.1614790585244663
903.12	1.1614473855923726
903.14	1.161415713429136
903.16	1.1613840420347452
903.18	1.1613523714091898
903.2	1.1613207015524585
903.22	1.161289032464541
903.24	1.1612573641454258
903.26	1.161225696595102
903.28	1.161194029813559
903.3	1.1611623638007864
903.32	1.1611306985567722
903.34	1.1610990340815062
903.36	1.1610673703749776
903.38	1.1610357074371753
903.4	1.1610040452680885
903.42	1.1609723838677064
903.44	1.1609407232360178
903.46	1.1609090633730117
903.48	1.160877404278678
903.5	1.1608457459530048
903.52	1.160814088395982
903.54	1.1607824316075983
903.56	1.1607507755878432
903.58	1.1607191203367055
903.6	1.1606874658541741
903.62	1.1606558121402388
903.64	1.1606241591948878
903.66	1.1605925070181113
903.68	1.1605608556098974
903.7	1.1605292049702356
903.72	1.1604975550991155
903.74	1.160465905996525
903.76	1.160434257662455
903.78	1.1604026100968934
903.8	1.1603709632998287
903.82	1.1603393172712513
903.84	1.1603076720111498
903.86	1.1602760275195134
903.88	1.1602443837963314
903.9	1.1602127408415928
903.92	1.1601810986552856
903.94	1.1601494572374011
903.96	1.1601178165879265
903.98	1.1600861767068518
904.0	1.1600545375941662
904.02	1.1600228992498585
904.04	1.1599912616739176
904.06	1.1599596248663329
904.08	1.1599279888270937
904.1	1.1598963535561886
904.12	1.1598647190536076
904.14	1.1598330853193386
904.16	1.1598014523533722
904.18	1.1597698201556956
904.2	1.1597381887262996
904.22	1.1597065580651729
904.24	1.1596749281723038
904.26	1.1596432990476826
904.28	1.1596116706912976
904.3	1.159580043103138
904.32	1.1595484162831935
904.34	1.1595167902314523
904.36	1.1594851649479043
904.38	1.1594535404325383
904.4	1.159421916685343
904.42	1.1593902937063083
904.44	1.159358671495423
904.46	1.159327050052676
904.48	1.1592954293780569
904.5	1.159263809471554
904.52	1.1592321903331573
904.54	1.1592005719628553
904.56	1.1591689543606374
904.58	1.1591373375264928
904.6	1.1591057214604101
904.62	1.159074106162379
904.64	1.1590424916323883
904.66	1.1590108778704276
904.68	1.158979264876485
904.7	1.1589476526505504
904.72	1.1589160411926125
904.74	1.1588844305026613
904.76	1.158852820580685
904.78	1.158821211426673
904.8	1.158789603040614
904.82	1.158757995422498
904.84	1.1587263885723134
904.86	1.1586947824900495
904.88	1.1586631771756957
904.9	1.1586315726292409
904.92	1.1585999688506734
904.94	1.158568365839984
904.96	1.1585367635971604
904.98	1.1585051621221922
905.0	1.158473561415069
905.02	1.158441961475779
905.04	1.158410362304312
905.06	1.1583787639006566
905.08	1.1583471662648024
905.1	1.1583155693967384
905.12	1.1582839732964532
905.14	1.1582523779639364
905.16	1.1582207833991773
905.18	1.1581891896021648
905.2	1.1581575965728876
905.22	1.1581260043113357
905.24	1.1580944128174973
905.26	1.158062822091362
905.28	1.158031232132919
905.3	1.1579996429421568
905.32	1.1579680545190658
905.34	1.1579364668636332
905.36	1.1579048799758496
905.38	1.1578732938557037
905.4	1.1578417085031845
905.42	1.1578101239182816
