wav	int
900.0	1.1322002794039243
900.02	1.132170460166265
900.04	1.132140641632458
900.06	1.1321108238024942
900.08	1.132081006676363
900.1	1.1320511902540542
900.12	1.1320213745355594
900.14	1.1319915595208676
900.16	1.131961745209969
900.18	1.131931931602854
900.2	1.1319021186995126
900.22	1.1318723064999345
900.24	1.1318424950041104
900.26	1.1318126842120304
900.28	1.131782874123684
900.3	1.1317530647390617
900.32	1.131723256058154
900.34	1.1316934480809504
900.36	1.1316636408074412
900.38	1.131633834237617
900.4	1.131604028371467
900.42	1.1315742232089818
900.44	1.1315444187501518
900.46	1.1315146149949664
900.48	1.1314848119434164
900.5	1.1314550095954912
900.52	1.1314252079511815
900.54	1.131395407010478
900.56	1.1313656067733688
900.58	1.1313358072398458
900.6	1.131306008409899
900.62	1.1312762102835174
900.64	1.1312464128606927
900.66	1.1312166161414132
900.68	1.1311868201256703
900.7	1.131157024813454
900.72	1.1311272302047535
900.74	1.1310974362995596
900.76	1.1310676430978628
900.78	1.1310378505996528
900.8	1.1310080588049192
900.82	1.130978267713653
900.84	1.1309484773258438
900.86	1.1309186876414816
900.88	1.1308888986605572
900.9	1.1308591103830596
900.92	1.1308293228089799
900.94	1.130799535938308
900.96	1.1307697497710336
900.98	1.1307399643071476
901.0	1.1307101795466388
901.02	1.1306803954894984
901.04	1.1306506121357165
901.06	1.1306208294852829
901.08	1.1305910475381873
901.1	1.1305612662944204
901.12	1.130531485753972
901.14	1.1305017059168327
901.16	1.1304719267829926
901.18	1.130442148352441
901.2	1.1304123706251683
901.22	1.1303825936011653
901.24	1.1303528172804211
901.26	1.1303230416629273
901.28	1.130293266748672
901.3	1.1302634925376465
901.32	1.1302337190298413
901.34	1.1302039462252456
901.36	1.1301741741238498
901.38	1.1301444027256444
901.4	1.130114632030619
901.42	1.130084862038764
901.44	1.1300550927500697
901.46	1.1300253241645253
901.48	1.1299955562821218
901.5	1.129965789102849
901.52	1.1299360226266975
901.54	1.1299062568536562
901.56	1.1298764917837167
901.58	1.1298467274168684
901.6	1.1298169637531013
901.62	1.1297872007924052
901.64	1.1297574385347713
901.66	1.1297276769801885
901.68	1.1296979161286478
901.7	1.129668155980139
901.72	1.1296383965346517
901.74	1.1296086377921768
901.76	1.1295788797527044
901.78	1.129549122416224
901.8	1.129519365782726
901.82	1.1294896098522005
901.84	1.1294598546246377
901.86	1.1294301001000275
901.88	1.1294003462783606
901.9	1.1293705931596267
901.92	1.1293408407438155
901.94	1.1293110890309177
901.96	1.1292813380209228
901.98	1.1292515877138218
902.0	1.129221838109604
902.02	1.12919208920826
902.04	1.1291623410097802
902.06	1.1291325935141536
902.08	1.1291028467213713
902.1	1.1290731006314232
902.12	1.1290433552442989
902.14	1.129013610559989
902.16	1.128983866578484
902.18	1.128954123299773
902.2	1.1289243807238472
902.22	1.1288946388506955
902.24	1.1288648976803088
902.26	1.1288351572126776
902.28	1.1288054174477908
902.3	1.1287756783856393
902.32	1.1287459400262134
902.34	1.128716202369503
902.36	1.1286864654154976
902.38	1.1286567291641882
902.4	1.1286269936155648
902.42	1.128597258769617
902.44	1.1285675246263351
902.46	1.1285377911857093
902.48	1.1285080584477298
902.5	1.1284783264123863
902.52	1.1284485950796697
902.54	1.1284188644495696
902.56	1.1283891345220753
902.58	1.1283594052971786
902.6	1.1283296767748685
902.62	1.1282999489551353
902.64	1.1282702218379694
902.66	1.1282404954233607
902.68	1.1282107697112993
902.7	1.1281810447017748
902.72	1.1281513203947784
902.74	1.1281215967902996
902.76	1.1280918738883283
902.78	1.1280621516888547
902.8	1.1280324301918694
902.82	1.128002709397362
902.84	1.1279729893053227
902.86	1.1279432699157421
902.88	1.1279135512286096
902.9	1.1278838332439156
902.92	1.1278541159616504
902.94	1.127824399381804
902.96	1.1277946835043662
902.98	1.1277649683293276
903.0	1.1277352538566776
903.02	1.1277055400864076
903.04	1.127675827018506
903.06	1.1276461146529644
903.08	1.1276164029897722
903.1	1.1275866920289195
903.12	1.1275569817703965
903.14	1.1275272722141938
903.16	1.1274975633603008
903.18	1.1274678552087074
903.2	1.1274381477594049
903.22	1.1274084410123824
903.24	1.1273787349676303
903.26	1.1273490296251385
903.28	1.1273193249848978
903.3	1.1272896210468972
