NB119	1.1885	0.0141	0.8	0.384425009
NB1550	1.548	0.018	0.88	0.464685291
NB1657	1.657	0.02	0.9	0.482532355
[FeII]	1.644	0.027	0.91	0.480655988
NB2071	2.07	0.027	0.92	0.491464929
NB2083	2.083	0.027	0.95	0.489750474
NB2095	2.093	0.026	0.9	0.488332264
H2	2.122	0.021	0.7	0.483720992
BrG	2.165	0.025	0.9	0.475477281
K-continuum	2.246	0.062	0.7	0.455132996
CO	2.298	0.023	0.84	0.438556219
NB2315	2.317	0.026	0.91	0.431779686
