Filter,Wav,Airmass,GLAO_G,GLAO_M,GLAO_B,NOAO_G,NOAO_M,NOAO_B
Y,1,2,0.688,0.8726,1.1225,0.8195,1.0134,1.246
J1,1.2,2,0.6433,0.8231,1.0724,0.7902,0.9752,1.2083
J2,1.4,2,0.6038,0.7785,1.0256,0.7615,0.9425,1.1745
H1,1.6,2,0.5672,0.7379,0.9842,0.7475,0.9241,1.151
H2,1.8,2,0.5353,0.7017,0.9447,0.7266,0.8994,1.1236
Ks,2,2,0.5081,0.6693,0.9097,0.708,0.8786,1.1018
K1,2.2,2,0.4841,0.64,0.8769,0.6957,0.8599,1.0765
K2,2.4,2,0.4636,0.6145,0.8463,0.6804,0.8433,1.0561
